country,date,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,country_enc
Brazil,2019-01-01,0.0237501,0.201663,0.222504,0.0184828,0.096799,0.0984519,
Brazil,2019-01-02,0.0329052,0.341199,0.268382,0.0198525,0.116758,0.0984519,
Brazil,2019-01-03,0.0333828,0.418676,0.260936,0.0210115,0.113519,0.0984519,
Brazil,2019-01-04,0.032854,0.443308,0.234829,0.020613,0.102161,0.0984519,
Brazil,2019-01-05,0.0312063,0.371087,0.250919,0.0222406,0.109161,0.0984519,
Brazil,2019-01-06,0.0296616,0.262905,0.255836,0.0218573,0.1113,0.0984519,
Brazil,2019-01-07,0.0327922,0.459458,0.23384,0.0212238,0.101731,0.0984519,
Brazil,2019-01-08,0.0325468,0.472862,0.24206,0.020844,0.105307,0.0984519,
Brazil,2019-01-09,0.0326431,0.470345,0.249163,0.0203214,0.108397,0.0984519,
Brazil,2019-01-10,0.0343967,0.474046,0.251331,0.0206771,0.10934,0.0984519,
Brazil,2019-01-11,0.0284469,0.494012,0.246069,0.0192639,0.107051,0.0984519,
Brazil,2019-01-12,0.0321828,0.428228,0.279905,0.0218722,0.121771,0.0984519,
Brazil,2019-01-13,0.0296433,0.298652,0.221858,0.021161,0.096518,0.0984519,
Brazil,2019-01-14,0.0327461,0.46998,0.335016,0.0203836,0.145747,0.0984519,
Brazil,2019-01-15,0.0335079,0.486994,0.339524,0.0200399,0.147708,0.0984519,
Brazil,2019-01-16,0.0288488,0.491746,0.389884,0.0183492,0.169617,0.0984519,
Brazil,2019-01-17,0.0328581,0.483121,0.401285,0.0195796,0.174577,0.0984519,
Brazil,2019-01-18,0.033092,0.495507,0.400099,0.0205982,0.174061,0.0984519,
Brazil,2019-01-19,0.0309893,0.459601,0.190249,0.0219612,0.082767,0.0984519,
Brazil,2019-01-20,0.0292442,0.384222,0.183188,0.0203391,0.079695,0.0984519,
Brazil,2019-01-21,0.0318397,0.490823,0.301399,0.0199263,0.131122,0.0984519,
Brazil,2019-01-22,0.0329621,0.496327,0.328334,0.0200272,0.14284,0.0984519,
Brazil,2019-01-23,0.0317342,0.49671,0.412548,0.0207997,0.179477,0.0984519,
Brazil,2019-01-24,0.0322682,0.500114,0.4022,0.0203219,0.174975,0.0984519,
Brazil,2019-01-25,0.0314528,0.49608,0.335621,0.0189173,0.14601,0.0984519,
Brazil,2019-01-26,0.0293967,0.45141,0.373989,0.0209432,0.162702,0.0984519,
Brazil,2019-01-27,0.0284614,0.373472,0.353621,0.0218115,0.153841,0.0984519,
Brazil,2019-01-28,0.026822,0.492372,0.387956,0.0192828,0.168778,0.0984519,
Brazil,2019-01-29,0.0320587,0.496229,0.451204,0.0192117,0.196294,0.0984519,
Brazil,2019-01-30,0.0317756,0.497581,0.457907,0.0206665,0.19921,0.0984519,
Brazil,2019-01-31,0.0326616,0.499154,0.490842,0.0197666,0.213538,0.0984519,
Brazil,2019-02-01,0.0316059,0.499291,0.322255,0.0205903,0.218506,0.109,
Brazil,2019-02-02,0.0293845,0.46094,0.305649,0.0215979,0.207246,0.109,
Brazil,2019-02-03,0.0274578,0.377633,0.319602,0.020178,0.216707,0.109,
Brazil,2019-02-04,0.0297768,0.49436,0.346566,0.0210879,0.23499,0.109,
Brazil,2019-02-05,0.0304193,0.497097,0.378057,0.0196874,0.256343,0.109,
Brazil,2019-02-06,0.0294781,0.500778,0.362029,0.0194661,0.245475,0.109,
Brazil,2019-02-07,0.0298718,0.49864,0.330624,0.0187767,0.224181,0.109,
Brazil,2019-02-08,0.0306863,0.501186,0.301902,0.0196012,0.204706,0.109,
Brazil,2019-02-09,0.0278309,0.463463,0.288802,0.0214904,0.195823,0.109,
Brazil,2019-02-10,0.0245902,0.380079,0.29175,0.0204245,0.197822,0.109,
Brazil,2019-02-11,0.0293931,0.495613,0.319985,0.0201243,0.216967,0.109,
Brazil,2019-02-12,0.0299079,0.496705,0.326614,0.0191869,0.221462,0.109,
Brazil,2019-02-13,0.0297843,0.491678,0.386521,0.0199491,0.262082,0.109,
Brazil,2019-02-14,0.0303362,0.497286,0.41928,0.0197883,0.284294,0.109,
Brazil,2019-02-15,0.0298689,0.50306,0.437986,0.0191028,0.296978,0.109,
Brazil,2019-02-16,0.0270528,0.464815,0.422585,0.0217214,0.286535,0.109,
Brazil,2019-02-17,0.0223052,0.37534,0.409786,0.019306,0.277857,0.109,
Brazil,2019-02-18,0.0299094,0.493391,0.390941,0.019158,0.265079,0.109,
Brazil,2019-02-19,0.0293566,0.49836,0.407775,0.0184604,0.276493,0.109,
Brazil,2019-02-20,0.028208,0.50886,0.413841,0.0191629,0.280606,0.109,
Brazil,2019-02-21,0.0290466,0.503133,0.382082,0.0198141,0.259072,0.109,
Brazil,2019-02-22,0.029117,0.5025,0.362728,0.0184479,0.245949,0.109,
Brazil,2019-02-23,0.027301,0.472344,0.270147,0.0224513,0.183174,0.109,
Brazil,2019-02-24,0.0235977,0.402351,0.291678,0.0202246,0.197773,0.109,
Brazil,2019-02-25,0.0285362,0.494971,0.359171,0.0192216,0.243537,0.109,
Brazil,2019-02-26,0.0284288,0.478189,0.377804,0.0186192,0.256171,0.109,
Brazil,2019-02-27,0.0296819,0.475506,0.348971,0.0196196,0.236621,0.109,
Brazil,2019-02-28,0.0290366,0.487191,0.321868,0.0204097,0.218244,0.109,
Brazil,2019-03-01,0.0315528,0.501611,0.420091,0.0205449,0.234223,0.0984519,
Brazil,2019-03-02,0.0298986,0.461823,0.379128,0.0241272,0.211384,0.0984519,
Brazil,2019-03-03,0.017829,0.365548,0.351678,0.0203022,0.196079,0.0984519,
Brazil,2019-03-04,0.0173235,0.420862,0.360882,0.019976,0.201211,0.0984519,
Brazil,2019-03-05,0.0213596,0.371032,0.357539,0.0185695,0.199347,0.0984519,
Brazil,2019-03-06,0.0304408,0.437659,0.355735,0.0184742,0.198341,0.0984519,
Brazil,2019-03-07,0.0281132,0.489928,0.316791,0.0188529,0.176628,0.0984519,
Brazil,2019-03-08,0.027081,0.49475,0.284398,0.0203437,0.158567,0.0984519,
Brazil,2019-03-09,0.0268808,0.467519,0.294085,0.0205803,0.163968,0.0984519,
Brazil,2019-03-10,0.024849,0.384272,0.28172,0.0197633,0.157074,0.0984519,
Brazil,2019-03-11,0.0284848,0.495565,0.292171,0.0199577,0.162901,0.0984519,
Brazil,2019-03-12,0.0285534,0.499718,0.314149,0.018583,0.175155,0.0984519,
Brazil,2019-03-13,0.0292805,0.502264,0.308189,0.0175212,0.171832,0.0984519,
Brazil,2019-03-14,0.0287177,0.502138,0.330623,0.0183187,0.18434,0.0984519,
Brazil,2019-03-15,0.0301611,0.504097,0.314476,0.0179047,0.175337,0.0984519,
Brazil,2019-03-16,0.0275942,0.472735,0.256072,0.0201075,0.142774,0.0984519,
Brazil,2019-03-17,0.0232755,0.400255,0.282233,0.0184586,0.15736,0.0984519,
Brazil,2019-03-18,0.028442,0.494645,0.348359,0.01822,0.194229,0.0984519,
Brazil,2019-03-19,0.0283967,0.499848,0.338827,0.017899,0.188914,0.0984519,
Brazil,2019-03-20,0.0287464,0.49909,0.352481,0.0160666,0.196527,0.0984519,
Brazil,2019-03-21,0.0288122,0.503699,0.351357,0.0185958,0.1959,0.0984519,
Brazil,2019-03-22,0.0300468,0.502661,0.362538,0.0175204,0.202134,0.0984519,
Brazil,2019-03-23,0.0273261,0.466455,0.364491,0.0191942,0.203223,0.0984519,
Brazil,2019-03-24,0.0232856,0.374444,0.335163,0.0181557,0.186871,0.0984519,
Brazil,2019-03-25,0.0278549,0.494223,0.341305,0.0192418,0.190296,0.0984519,
Brazil,2019-03-26,0.0214318,0.499197,0.352076,0.0154354,0.196301,0.0984519,
Brazil,2019-03-27,0.0288607,0.50034,0.285017,0.0162304,0.158912,0.0984519,
Brazil,2019-03-28,0.0285907,0.501709,0.288661,0.0184375,0.160944,0.0984519,
Brazil,2019-03-29,0.0300178,0.502477,0.294212,0.0171823,0.164039,0.0984519,
Brazil,2019-03-30,0.0280209,0.469016,0.306545,0.0200652,0.170915,0.0984519,
Brazil,2019-03-31,0.0228837,0.359667,0.287908,0.0190309,0.160524,0.0984519,
Brazil,2019-04-01,0.028684,0.490065,0.330852,0.0179014,0.146814,0.101734,
Brazil,2019-04-02,0.0277258,0.498424,0.402818,0.0166417,0.178749,0.101734,
Brazil,2019-04-03,0.0276379,0.500406,0.3769,0.015971,0.167248,0.101734,
Brazil,2019-04-04,0.0277429,0.50153,0.418197,0.0162927,0.185573,0.101734,
Brazil,2019-04-05,0.0285332,0.504113,0.453406,0.0168216,0.201197,0.101734,
Brazil,2019-04-06,0.0257699,0.480793,0.377256,0.019127,0.167406,0.101734,
Brazil,2019-04-07,0.0220925,0.394588,0.329599,0.0173478,0.146258,0.101734,
Brazil,2019-04-08,0.0281379,0.495258,0.313628,0.0182026,0.139171,0.101734,
Brazil,2019-04-09,0.0263166,0.499906,0.338786,0.0171389,0.150335,0.101734,
Brazil,2019-04-10,0.0284615,0.499115,0.421376,0.0204966,0.186984,0.101734,
Brazil,2019-04-11,0.0217914,0.501636,0.424739,0.0119651,0.188476,0.101734,
Brazil,2019-04-12,0.028623,0.481189,0.415454,0.0174799,0.184356,0.101734,
Brazil,2019-04-13,0.0258671,0.468994,0.32629,0.0190895,0.14479,0.101734,
Brazil,2019-04-14,0.0217969,0.388326,0.297222,0.0179014,0.131891,0.101734,
Brazil,2019-04-15,0.0277094,0.490718,0.311935,0.017215,0.13842,0.101734,
Brazil,2019-04-16,0.0265208,0.499308,0.325256,0.01634,0.144331,0.101734,
Brazil,2019-04-17,0.0271812,0.501585,0.345184,0.0164989,0.153174,0.101734,
Brazil,2019-04-18,0.0276714,0.502418,0.37741,0.0184208,0.167474,0.101734,
Brazil,2019-04-19,0.0248476,0.441043,0.345727,0.0174754,0.153415,0.101734,
Brazil,2019-04-20,0.0155715,0.401521,0.347352,0.017527,0.154136,0.101734,
Brazil,2019-04-21,0.0213076,0.325417,0.291791,0.0185711,0.129481,0.101734,
Brazil,2019-04-22,0.0290523,0.480216,0.302017,0.0176463,0.134019,0.101734,
Brazil,2019-04-23,0.0280708,0.472056,0.305981,0.0179996,0.135778,0.101734,
Brazil,2019-04-24,0.026665,0.497644,0.312674,0.0162022,0.138748,0.101734,
Brazil,2019-04-25,0.0257051,0.499901,0.311063,0.0172682,0.138033,0.101734,
Brazil,2019-04-26,0.0271663,0.501617,0.312294,0.0168815,0.138579,0.101734,
Brazil,2019-04-27,0.0237499,0.471009,0.321754,0.018159,0.142777,0.101734,
Brazil,2019-04-28,0.0190257,0.385564,0.33381,0.0181141,0.148127,0.101734,
Brazil,2019-04-29,0.0242809,0.489791,0.405013,0.0172963,0.179723,0.101734,
Brazil,2019-04-30,0.0254249,0.499371,0.420112,0.0156085,0.186423,0.101734,
Brazil,2019-05-01,0.0217511,0.437199,0.397132,0.0179831,0.146437,0.0984519,
Brazil,2019-05-02,0.022775,0.491374,0.393487,0.0171703,0.145093,0.0984519,
Brazil,2019-05-03,0.0258816,0.499777,0.381085,0.016957,0.14052,0.0984519,
